ioc_type,ioc_value,threat_name,threat_type,severity,confidence,first_seen,last_seen,mitre_attack,tags,source,description
hash-sha256,1ab4672076f63692e67555ebea72d9d7593928012ea7277776057e354d70364d,AsyncRAT,malware,high,high,2026-02-10,2026-02-10,T1547.001|T1573.001|T1497.001|T1622|T1102,asyncrat;vietnam;rat;dotnet,MalwareBazaar,AsyncRAT .NET RAT from Vietnam - open-source AsyncRAT-C# project
hash-md5,6782b6d750b717ea2c048b8ee00ece17,AsyncRAT,malware,high,high,2026-02-10,2026-02-10,T1547.001|T1573.001,asyncrat;vietnam;rat,MalwareBazaar,AsyncRAT Vietnam sample MD5
hash-sha256,a9b670ff357cbb942a795c8524999072cd9466486b9c28b5b0d809b01547293b,AgentTesla-SteganoLoader,malware,high,high,2026-02-11,2026-02-11,T1027.003|T1620|T1140|T1113|T1056.001,agenttesla;steganography;infostealer,MalwareBazaar,AgentTesla with steganography loader - hides payload in bitmap pixel data
hash-md5,155dfdc4eb24f4e4622168fc015a93db,AgentTesla-SteganoLoader,malware,high,high,2026-02-11,2026-02-11,T1027.003|T1620,agenttesla;steganography,MalwareBazaar,AgentTesla steganography loader MD5
hash-sha1,9ba90e762751aff73ce894bc278e3053d9a31c0c,AgentTesla-SteganoLoader,malware,high,high,2026-02-11,2026-02-11,T1027.003|T1620,agenttesla;steganography,MalwareBazaar,AgentTesla steganography loader SHA1
filename,new_order3223.com.exe,AgentTesla-SteganoLoader,malware,high,high,2026-02-11,2026-02-11,T1566.001,agenttesla;steganography;phishing,MalwareBazaar,AgentTesla steganography loader filename
filename,EQwhl.exe,AgentTesla-SteganoLoader,malware,high,medium,2026-02-11,2026-02-11,T1620,agenttesla;dropped-payload,MalwareBazaar,Dropped payload by AgentTesla steganography loader
filename,v4.msi,Warlock-Storm2603,ransomware,critical,high,2026-02-10,2026-02-11,T1218.007|T1219,warlock;storm-2603;velociraptor;msi,ReliaQuest,Malicious MSI installer deploying Velociraptor for Warlock ransomware
filename,pic1.png,Shadow-Campaigns-TGR-STA-1030,apt,critical,high,2026-02-09,2026-02-09,T1027|T1204.002,shadow-campaigns;diaoyu;integrity-check,Unit42,Zero-byte file used as Diaoyu loader integrity check
filepath,swsecret,Shadow-Campaigns-TGR-STA-1030,apt,critical,high,2026-02-09,2026-02-09,T1014|T1564.001,shadow-campaigns;shadowguard;rootkit;ebpf,Unit42,Hidden directory created by ShadowGuard eBPF rootkit
filename,NSecKrnl.sys,Reynolds-Ransomware,ransomware,high,high,2026-02-10,2026-02-10,T1211|T1562.001,reynolds;byovd;edr-killer,TheHackerNews,Vulnerable BYOVD driver used by Reynolds ransomware to kill EDR
filename,AsyncRAT.pdb,AsyncRAT,malware,medium,high,2026-02-10,2026-02-10,T1547.001,asyncrat;pdb;debug,MalwareBazaar,PDB path artifact - D:\Cong Viec\malware\AsyncRAT-C-Sharp\
domain,dog3rj.tech,Shadow-Campaigns-TGR-STA-1030,apt,critical,high,2026-02-09,2026-02-09,T1566.002|T1105,shadow-campaigns;c2;european-targeting,Unit42,C2 domain used in Shadow Campaigns targeting European victims
domain,mega.nz,Shadow-Campaigns-TGR-STA-1030,apt,critical,medium,2026-02-09,2026-02-09,T1566.002|T1105,shadow-campaigns;payload-hosting,Unit42,Mega.nz used for hosting phishing payloads (legitimate service abused)
domain,pastebin.com,AsyncRAT,malware,medium,medium,2026-02-10,2026-02-10,T1102,asyncrat;dynamic-config;c2,MalwareBazaar,Pastebin used for dynamic C2 configuration by AsyncRAT
domain,gotohttp.com,Reynolds-Ransomware,ransomware,high,high,2026-02-10,2026-02-10,T1219,reynolds;remote-access;persistence,TheHackerNews,GotoHTTP remote access tool used for post-encryption persistence
url,https://mega.nz/file/,Shadow-Campaigns-TGR-STA-1030,apt,critical,medium,2026-02-09,2026-02-09,T1566.002|T1204.002,shadow-campaigns;phishing;payload,Unit42,Mega.nz file download URLs used in phishing campaigns
cve,CVE-2025-68947,Reynolds-Ransomware,cve,medium,high,2026-02-10,2026-02-10,T1211|T1562.001,nsecsoft;byovd;edr-killer,TheHackerNews,NsecSoft NSecKrnl arbitrary process termination - used by Reynolds ransomware
tool,Diaoyu,Shadow-Campaigns-TGR-STA-1030,apt,critical,high,2026-02-09,2026-02-09,T1204.002|T1105,shadow-campaigns;loader;first-stage,Unit42,Custom loader used by TGR-STA-1030 - fetches Cobalt Strike and VShell
tool,ShadowGuard,Shadow-Campaigns-TGR-STA-1030,apt,critical,high,2026-02-09,2026-02-09,T1014,shadow-campaigns;rootkit;ebpf;linux,Unit42,Custom Linux eBPF rootkit unique to TGR-STA-1030
tool,VShell,Shadow-Campaigns-TGR-STA-1030,apt,critical,high,2026-02-09,2026-02-09,T1105|T1071,shadow-campaigns;c2-framework,Unit42,C2 framework deployed by Shadow Campaigns alongside Cobalt Strike
tool,Cobalt Strike,Shadow-Campaigns-TGR-STA-1030,apt,critical,high,2026-02-09,2026-02-09,T1105|T1071,shadow-campaigns;c2,Unit42,Commercial C2 framework used by TGR-STA-1030
tool,Behinder,Shadow-Campaigns-TGR-STA-1030,apt,high,high,2026-02-09,2026-02-09,T1505.003,shadow-campaigns;webshell,Unit42,Java webshell used by Shadow Campaigns
tool,Godzilla,Shadow-Campaigns-TGR-STA-1030,apt,high,high,2026-02-09,2026-02-09,T1505.003,shadow-campaigns;webshell,Unit42,Webshell used by Shadow Campaigns
tool,Neo-reGeorg,Shadow-Campaigns-TGR-STA-1030,apt,high,high,2026-02-09,2026-02-09,T1505.003,shadow-campaigns;webshell;tunneling,Unit42,Web tunneling shell used by Shadow Campaigns
tool,GOST,Shadow-Campaigns-TGR-STA-1030,apt,high,medium,2026-02-09,2026-02-09,T1572,shadow-campaigns;tunneling,Unit42,GO Simple Tunnel used for network tunneling
tool,FRPS,Shadow-Campaigns-TGR-STA-1030,apt,high,medium,2026-02-09,2026-02-09,T1572|T1090,shadow-campaigns;reverse-proxy,Unit42,Fast Reverse Proxy Server used for C2 relay
tool,IOX,Shadow-Campaigns-TGR-STA-1030,apt,high,medium,2026-02-09,2026-02-09,T1572,shadow-campaigns;tunneling,Unit42,Tunneling tool used in Shadow Campaigns
tool,Velociraptor,Warlock-Storm2603,ransomware,critical,high,2026-01-29,2026-02-11,T1219|T1036,warlock;c2-abuse;dfir-tool-weaponized,ReliaQuest/Huntress,Legitimate DFIR tool weaponized as C2 by Storm-2603 and SolarWinds WHD attackers
tool,SimpleHelp,Warlock-Storm2603,ransomware,high,high,2026-02-10,2026-02-11,T1219,warlock;remote-access,ReliaQuest,Remote access tool used by Storm-2603 for persistence
tool,GotoHTTP,Reynolds-Ransomware,ransomware,high,high,2026-02-10,2026-02-10,T1133|T1219,reynolds;remote-access;post-encryption,TheHackerNews,Remote access tool for post-encryption persistence
tool,REPTILE,UNC3886-Singapore-Telco,apt,high,high,2026-02-09,2026-02-09,T1014,unc3886;rootkit;linux,Mandiant,Linux rootkit used by UNC3886
tool,MEDUSA,UNC3886-Singapore-Telco,apt,high,high,2026-02-09,2026-02-09,T1014,unc3886;rootkit;linux,Mandiant,Linux rootkit used by UNC3886
tool,MOPSLED,UNC3886-Singapore-Telco,apt,high,medium,2026-02-09,2026-02-09,T1105,unc3886;backdoor,Mandiant,Custom malware family used by UNC3886
tool,RIFLESPINE,UNC3886-Singapore-Telco,apt,high,medium,2026-02-09,2026-02-09,T1105,unc3886;backdoor,Mandiant,Custom malware family used by UNC3886
tool,ShadowPad,DKnife-AitM-Framework,apt,high,high,2026-02-09,2026-02-09,T1059.004,dknife;china;backdoor,SecureWorks,Associated backdoor linked to DKnife operators
tool,DarkNimbus,DKnife-AitM-Framework,apt,high,high,2026-02-09,2026-02-09,T1059.004,dknife;china;backdoor,SecureWorks,Associated backdoor linked to DKnife operators
domain,tapnetic.pro,AiFrame Chrome Extension Campaign,malware,high,high,2026-02-12,2026-02-12,"T1195.002,T1185,T1114.001,T1555.003",chrome-extension;credential-theft;gmail,LayerX Security,C2 domain for 30 malicious AI-themed Chrome extensions stealing credentials and email
chrome-extension-id,fppbiomdkfbhgjjdmojlogeceejinadg,AiFrame Chrome Extension Campaign,malware,high,high,2026-02-12,2026-02-12,"T1195.002,T1204.001",chrome-extension;ai-lure,LayerX Security,Gemini AI Sidebar - malicious extension (80K users)
chrome-extension-id,gghdfkafnhfpaooiolhncejnlgglhkhe,AiFrame Chrome Extension Campaign,malware,high,high,2026-02-12,2026-02-12,"T1195.002,T1204.001",chrome-extension;ai-lure,LayerX Security,AI Sidebar - malicious extension (70K users)
chrome-extension-id,nlhpidbjmmffhoogcennoiopekbiglbp,AiFrame Chrome Extension Campaign,malware,high,high,2026-02-12,2026-02-12,"T1195.002,T1204.001",chrome-extension;ai-lure,LayerX Security,AI Assistant - malicious extension (60K users)
chrome-extension-id,acaeafediijmccnjlokgcdiojiljfpbe,AiFrame Chrome Extension Campaign,malware,high,high,2026-02-12,2026-02-12,"T1195.002,T1204.001",chrome-extension;ai-lure,LayerX Security,ChatGPT Translate - malicious extension (30K users)
chrome-extension-id,kblengdlefjpjkekanpoidgoghdngdgl,AiFrame Chrome Extension Campaign,malware,high,high,2026-02-12,2026-02-12,"T1195.002,T1204.001",chrome-extension;ai-lure,LayerX Security,AI GPT - malicious extension (20K users)
chrome-extension-id,llojfncgbabajmdglnkbhmiebiinohek,AiFrame Chrome Extension Campaign,malware,high,high,2026-02-12,2026-02-12,"T1195.002,T1204.001",chrome-extension;ai-lure,LayerX Security,ChatGPT - malicious extension (20K users)
chrome-extension-id,djhjckkfgancelbmgcamjimgphaphjdl,AiFrame Chrome Extension Campaign,malware,high,high,2026-02-12,2026-02-12,"T1195.002,T1204.001",chrome-extension;ai-lure,LayerX Security,AI Sidebar variant - malicious extension (10K users)
chrome-extension-id,fdlagfnfaheppaigholhoojabfaapnhb,AiFrame Chrome Extension Campaign,malware,high,high,2026-02-12,2026-02-12,"T1195.002,T1204.001",chrome-extension;ai-lure,LayerX Security,Google Gemini - malicious extension (10K users)
filename,vhost.exe,Crazy Ransomware,ransomware,high,high,2026-02-11,2026-02-12,"T1219,T1036.005",simplehelp;rmm-abuse,Huntress,SimpleHelp payload disguised as VS host - Crazy ransomware persistence
file-path,C:\ProgramData\OneDriveSvc\OneDriveSvc.exe,Crazy Ransomware,ransomware,high,high,2026-02-11,2026-02-12,"T1219,T1036.005",simplehelp;rmm-abuse,Huntress,SimpleHelp payload disguised as OneDrive service - Crazy ransomware
domain,triage.json,Malware Analysis Skill,unknown,medium,medium,2026-03-13,2026-03-13,,malware-analysis-skill,SKILL,
domain,static.json,Malware Analysis Skill,unknown,medium,medium,2026-03-13,2026-03-13,,malware-analysis-skill,SKILL,
domain,triage.py,Malware Analysis Skill,unknown,medium,medium,2026-03-13,2026-03-13,,malware-analysis-skill,SKILL,
domain,iocs.json,Malware Analysis Skill,unknown,medium,medium,2026-03-13,2026-03-13,,malware-analysis-skill,SKILL,
domain,malware-triage.json,Check for requests library,unknown,medium,medium,2026-03-13,2026-03-13,,"'.join(source['tags'][:5])}"");'.join(summary['tags'][:10])}"");check-for-requests-library;limit: int = 10) -> dict:;str;{'",triage,
domain,self.malwarebazaar,Check for requests library,unknown,medium,medium,2026-03-13,2026-03-13,,"'.join(source['tags'][:5])}"");'.join(summary['tags'][:10])}"");check-for-requests-library;limit: int = 10) -> dict:;str;{'",triage,
url,http://evil.com/malware.exe,Check for requests library,unknown,medium,medium,2026-03-13,2026-03-13,,"'.join(source['tags'][:5])}"");'.join(summary['tags'][:10])}"");check-for-requests-library;limit: int = 10) -> dict:;str;{'",triage,
filename,malware.exe,Check for requests library,unknown,medium,medium,2026-03-13,2026-03-13,,"'.join(source['tags'][:5])}"");'.join(summary['tags'][:10])}"");check-for-requests-library;limit: int = 10) -> dict:;str;{'",triage,
file-path,/etc.],Malware Analysis Report Template,unknown,medium,medium,2026-03-13,2026-03-13,,malware-analysis-report-template,report_template,
file-path,/var/lib/apt,Columns pulled from asl.h,unknown,medium,medium,2026-03-13,2026-03-13,,columns-pulled-from-asl.h,standard_osquery_schema,
file-path,/etc/apt/,Columns pulled from asl.h,unknown,medium,medium,2026-03-13,2026-03-13,,columns-pulled-from-asl.h,standard_osquery_schema,
